ProdCode,Description,UOH,UBO,UM,Company Name
123.00005.2000.30020.2,"MVET COTTON TIP APPLICATOR NS6"" 100ct",0,0,EACH,Bridge Global Health
123.00007.2000.30022.2,"MVET TONGUE DEPRESSORS 6"" GRD A 500ct",0,0,EACH,Bridge Global Health
84502-0103-17,Tirzepatide (API) 5g/tube,158400,158400,EACH,Bridge Global Health
84502-0103-18,Tirzepatide (API) 1g/tube,0,0,EACH,Bridge Global Health
84502-0103-43,Tirzepatide (API) 100g/bottle,10000,10000,EACH,Bridge Global Health
CSQ1,Saline 0.9% 1000 ML,225372,171984,EACH,Bridge Global Health
G001,Gowns : Non Woven Isolation Gowns White,2400,0,EA,Bridge Global Health
G002,Gowns : PE Isolation Gown - Blue,720,0,EA,Bridge Global Health
GR02,Fleboflex Bags - 100 ML Saline 100,0,350,EA,Bridge Global Health
GR03,Fleboflex Bags - 250 ML Saline 250,2688,4592,EA,Bridge Global Health
GR04,Fleboflex Bags - 500 ML Saline 500,25540,105260,EA,Bridge Global Health
GR05,Fleboflex Bags - 1000 ML Saline 1000,68470,40420,EA,Bridge Global Health
GR06,Fleboflex Luer Bags - 500/1000 mL,0,0,EACH,Bridge Global Health
GR07,Fleboflex Luer Bags - 250/500 mL,0,0,EACH,Bridge Global Health
GR10,Anticoagulant Sodium Citrate 4% w/v Solution 250 mL,0,0,EACH,Bridge Global Health
IVF1010,"AMSafe Pre-Filled Saline Flush Syringe, 10 mL",0,0,EACH,Bridge Global Health
M001,BGH L2 Black Mask,118000,0,EA,Bridge Global Health
M002,BGH L2 Blue Mask,38000,0,EA,Bridge Global Health
MVT.05000.2,MVET BUR FG XCUT FISSURE TAPER #699 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05001.2,MVET BUR FG XCUT FISSURE TAPER #700 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05002.2,MVET BUR FG XCUT FISSURE TAPER #701 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05003.2,MVET BUR FG XCUT FISSURE TAPER #701L 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05004.2,MVET BUR FG  FISSURE SURGICAL #701L 25mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05005.2,MVET BUR FG XCUT FISSURE TAPER #702 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05006.2,MVET BUR FG PEAR  #330  19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05007.2,MVET BUR FG PEAR #331 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05008.2,MVET BUR FG PEAR #332L 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05032.2,MVET BUR FG ROUND #1 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05033.2,MVET BUR FG ROUND #2 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05034.2,MVET BUR FG ROUND #2 SURGICAL 25mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05035.2,MVET BUR FG ROUND #4 DIAMOND 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05037.2,MVET BUR FG ROUND #4 SURGICAL 25mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05038.2,MVET BUR FG ROUND #6 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05039.2,MVET BUR FG ROUND #6 SURGICAL 25mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05040.2,MVET BUR FG ROUND #8 19mm 5-PK,0,0,EACH,Bridge Global Health
MVT.05041.2,MVET BUR FG FOOTBALL DIAMOND MED GRIT 5-PK,0,0,EACH,Bridge Global Health
RING,L7500 Lactated Ringers - 1000 ML,84,0,EACH,Bridge Global Health
T105,Gel & Clot Activator - 5 ML Golden 13x100,4000,0,EA,Bridge Global Health
T105,Gel & Clot Activator - 5 ML Golden 13x100,35000,0,EA,Bridge Global Health
Trump1,Trump 2024 Delta Kite Ripstop Polyester,1170,0,EACH,Bridge Global Health
Trump2,Trump - I Am Back Delta Kite,1165,0,EACH,Bridge Global Health
Tumb1,"Skater Gilrl, Tumbler - 40oz",0,0,EACH,Bridge Global Health
Tumb2,"Cattle Drive, Tumbler - 40oz",0,0,EACH,Bridge Global Health
Tumb3,"Rose Garden, Tumbler - 40oz",0,0,EACH,Bridge Global Health
Tumb4,"Party Cheetah, Tumbler - 40oz",0,0,EACH,Bridge Global Health
USP1,USP Normal Saline Bottle - 100 ML Screw Top,240,0,EA,Bridge Global Health
USP2,USP Bottle - 1000 ML Screw Top,6,0,EA,Bridge Global Health
USP3,USP Bottle - 250 ML Screw Top,96,0,EA,Bridge Global Health
USP4,USP STERILE WATER SCREW TOP 500 ML,54,0,EACH,Bridge Global Health
